,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter
2013-07-13,4.51,8.3,232.9,203000.0,179296.22952173985,87161.87204808931,76984.21190285093,82167.51045282002
2013-07-20,4.37,8.3,232.9,205000.0,179296.22952173985,88020.6097037355,76984.21190285093,84735.24515447064
2013-07-27,4.31,8.3,232.9,200000.0,179296.22952173985,85873.76556462001,76984.21190285093,83451.37780364533
2013-08-03,4.39,8.3,233.456,205000.0,180330.04408477715,87810.97937084505,77243.69649303387,83451.37780364533
2013-08-10,4.4,8.3,233.456,199000.0,180330.04408477715,85240.90192584471,77243.69649303387,80734.72874839812
2013-08-17,4.4,8.3,233.456,202000.0,180330.04408477715,86525.94064834487,77243.69649303387,81589.06450234943
2013-08-24,4.58,8.3,233.456,200000.0,180330.04408477715,85669.2481666781,77243.69649303387,83276.37761640325
2013-08-31,4.51,8.3,233.456,202000.0,180330.04408477715,86525.94064834487,77243.69649303387,83078.06355684882
2013-09-07,4.57,8.3,233.544,195000.0,181381.6970052668,83496.0435720892,77664.89269913454,84356.18761156958
2013-09-14,4.57,8.3,233.544,193800.0,181381.6970052668,82982.22176549173,77664.89269913454,85208.27031471675
2013-09-21,4.5,8.3,233.544,195000.0,181381.6970052668,83496.0435720892,77664.89269913454,83356.69460077795
2013-09-28,4.32,8.3,233.544,195000.0,181381.6970052668,83496.0435720892,77664.89269913454,81177.11060487572
2013-10-05,4.22,8.2,233.669,195000.0,182343.66802099196,83451.37780364533,78035.0273339604,82239.63823059399
2013-10-12,4.23,8.2,233.669,192000.0,182343.66802099196,82167.51045282002,78035.0273339604,80752.09955458842
2013-10-19,4.28,8.2,233.669,198000.0,182343.66802099196,84735.24515447064,78035.0273339604,78627.04430315188
2013-10-26,4.13,8.2,233.669,195000.0,182343.66802099196,83451.37780364533,78035.0273339604,80752.09955458842
2013-11-02,4.1,8.2,233.669,195000.0,182990.9578221441,83451.37780364533,78312.03874803422,78116.04478087176
2013-11-09,4.16,8.2,234.1,189000.0,182990.9578221441,80734.72874839812,78167.85895862627,78752.86036332452
2013-11-16,4.35,8.2,234.1,191000.0,182990.9578221441,81589.06450234943,78167.85895862627,79814.21966741246
2013-11-23,4.22,8.2,234.1,194950.0,182990.9578221441,83276.37761640325,78167.85895862627,81512.39455395314
2013-12-07,4.46,8.2,234.719,195000.0,183859.63482202083,83078.06355684882,78331.8073193993,80498.9238564916
2013-12-14,4.42,8.2,234.719,198000.0,183859.63482202083,84356.18761156958,78331.8073193993,80498.9238564916
2013-12-21,4.47,8.2,234.719,200000.0,183859.63482202083,85208.27031471675,78331.8073193993,80498.9238564916
2013-12-28,4.48,8.2,234.719,195654.0,183859.63482202083,83356.69460077795,78331.8073193993,83464.67368278341
2014-01-04,4.53,8.3,235.288,191000.0,184746.3962820641,81177.11060487572,78519.25992063517,82421.30013363331
2014-01-11,4.51,8.3,235.288,193500.0,184746.3962820641,82239.63823059399,78519.25992063517,82040.69895292386
2014-01-18,4.41,8.3,235.288,190000.0,184746.3962820641,80752.09955458842,78519.25992063517,83415.09210548573
2014-01-25,4.39,8.3,235.288,185000.0,184746.3962820641,78627.04430315188,78519.25992063517,82463.58915371214
2014-02-01,4.32,8.3,235.288,190000.0,185654.30986879763,80752.09955458842,78905.13322770291,84417.39335972784
2014-02-08,4.23,8.3,235.547,184000.0,185654.30986879763,78116.04478087176,78818.3716493089,83573.21942613056
